City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint-Philippe,90,CA,1572578519,93,45.36,-73.48,286.48,5.7
Atuona,45,PF,1572578519,69,-9.8,-139.03,300.04,4.67
Avarua,16,CK,1572578751,78,-21.21,-159.78,299.15,3.1
Lososina,7,RU,1572578751,64,49.0,140.31,280.54,7.91
Busselton,79,AU,1572578520,80,-33.64,115.35,287.04,3.13
Bredasdorp,56,ZA,1572578520,83,-34.53,20.04,288.15,5.36
Khatanga,51,RU,1572578520,98,71.98,102.47,251.98,0.52
Chokurdakh,12,RU,1572578520,97,70.62,147.9,252.5,1.25
Klaksvik,4,FO,1572578752,93,62.23,-6.59,275.15,1.97
Jamestown,100,AU,1572578752,24,-33.21,138.6,304.48,9.55
Kruisfontein,0,ZA,1572578521,88,-34.0,24.73,282.68,2.55
Tuktoyaktuk,90,CA,1572578521,79,69.44,-133.03,270.15,9.3
Kapaa,40,US,1572578238,74,22.08,-159.32,301.15,2.6
Clyde River,90,CA,1572578522,92,70.47,-68.59,270.15,4.1
Luderitz,100,NA,1572578522,93,-26.65,15.16,287.15,8.7
Ponta do Sol,92,BR,1572578522,90,-20.63,-46.0,292.01,1.19
Punta Arenas,75,CL,1572578487,70,-53.16,-70.91,279.15,8.7
Ushuaia,40,AR,1572578407,65,-54.81,-68.31,280.15,7.7
Chapais,90,CA,1572578523,92,49.78,-74.86,272.15,3.1
Port Alfred,11,ZA,1572578523,92,-33.59,26.89,287.59,0.89
Barcelona,20,ES,1572578024,87,41.38,2.18,289.82,5.1
Airai,88,TL,1572578524,36,-8.93,125.41,303.2,3.34
Salalah,100,OM,1572578291,62,17.01,54.1,302.15,3.1
Dikson,95,RU,1572578524,94,73.51,80.55,259.14,3.43
Saint-Augustin,90,CA,1572578525,93,45.63,-73.98,283.15,5.7
Ahuimanu,90,US,1572578525,74,21.44,-157.84,301.15,0.63
Georgetown,20,GY,1572578525,100,6.8,-58.16,297.15,1.0
Bluff,60,AU,1572578525,30,-23.58,149.07,303.07,6.15
Taunsa,100,PK,1572578525,26,30.7,70.65,298.79,2.42
Meadow Lake,100,CA,1572578525,93,54.13,-108.44,271.57,4.37
Cape Town,95,ZA,1572578100,81,-33.93,18.42,287.59,0.5
Rikitea,78,PF,1572578526,70,-23.12,-134.97,294.87,5.82
Cayenne,0,GF,1572578526,88,4.94,-52.33,298.15,0.5
Tarakan,40,ID,1572578526,74,3.3,117.63,303.15,3.1
Pevek,90,RU,1572578527,95,69.7,170.27,259.15,2.41
Kloulklubed,75,PW,1572578527,74,7.04,134.26,302.15,2.1
Eenhana,100,NA,1572578527,47,-17.48,16.34,300.15,4.1
Toyooka,40,JP,1572578527,60,35.55,134.82,294.15,3.6
Hobart,100,AU,1572578429,27,-42.88,147.33,304.26,7.7
Nome,1,US,1572578528,81,30.04,-94.42,281.48,3.42
New Norfolk,100,AU,1572578528,27,-42.78,147.06,304.82,7.7
Gazanjyk,0,TM,1572578529,55,39.24,55.52,284.98,3.56
Albany,90,US,1572578529,78,42.65,-73.75,295.93,9.3
Lata,0,IN,1572578529,29,30.78,78.62,275.28,0.87
Carlsbad,75,CZ,1572578529,97,50.23,12.87,277.15,3.1
College,1,US,1572578529,92,64.86,-147.8,267.59,1.09
Faanui,0,PF,1572578530,87,-16.48,-151.75,299.06,6.4
Arraial do Cabo,23,BR,1572578476,90,-22.97,-42.02,296.98,2.93
Aklavik,75,CA,1572578530,73,68.22,-135.01,268.15,1.0
Vaini,75,IN,1572578530,94,15.34,74.49,296.15,3.1
Sao Filipe,0,CV,1572578531,53,14.9,-24.5,300.6,5.64
Bambous Virieux,20,MU,1572578531,73,-20.34,57.76,297.15,2.6
Marawi,95,PH,1572578531,76,8.0,124.29,301.48,2.68
Sitka,0,US,1572578531,34,37.17,-99.65,276.48,4.92
Tiksi,100,RU,1572578531,93,71.64,128.87,254.72,1.41
Isangel,75,VU,1572578531,57,-19.55,169.27,299.15,4.1
Pisco,80,PE,1572578532,77,-13.71,-76.2,291.15,5.1
Komsomolskiy,100,RU,1572578532,96,67.55,63.78,261.14,2.16
Victoria,75,BN,1572578532,74,5.28,115.24,304.15,1.0
Alofi,40,NU,1572578532,65,-19.06,-169.92,298.15,5.7
Eureka,1,US,1572578533,65,40.8,-124.16,282.04,1.33
Portland,90,US,1572578248,88,43.66,-70.25,293.15,7.7
Laguna,90,BZ,1572578533,100,16.17,-88.94,297.15,0.82
Hilo,90,US,1572578268,69,19.71,-155.08,301.15,1.5
Abonnema,100,NG,1572578533,87,4.71,6.79,298.54,1.33
Iqaluit,75,CA,1572578533,85,63.75,-68.52,268.15,3.6
Qaanaaq,100,GL,1572578534,67,77.48,-69.36,262.07,3.15
Mahebourg,20,MU,1572578534,73,-20.41,57.7,297.15,2.6
Zemio,52,CF,1572578534,96,5.02,25.13,292.58,0.55
Quatre Cocos,20,MU,1572578535,73,-20.21,57.76,297.15,2.6
General Roca,100,AR,1572578535,20,-39.03,-67.58,292.15,3.1
Meulaboh,80,ID,1572578535,78,4.14,96.13,299.66,3.13
Altus,1,US,1572578535,51,34.64,-99.33,276.15,4.1
Mataura,95,NZ,1572578535,78,-46.19,168.86,284.82,9.83
San Ramon,100,NI,1572578535,84,12.92,-85.84,293.33,1.85
Tenkodogo,100,BF,1572578536,69,11.78,-0.37,299.67,1.35
Port Lincoln,100,AU,1572578536,51,-34.72,135.86,293.49,3.72
Fairview,5,CA,1572578536,69,56.07,-118.38,274.82,3.6
Hermanus,100,ZA,1572578536,83,-34.42,19.24,288.15,5.36
Beringovskiy,0,RU,1572578537,73,63.05,179.32,270.21,4.18
Khani,40,GE,1572578537,100,41.96,42.96,286.15,2.1
Kununurra,4,AU,1572578537,23,-15.77,128.74,310.15,5.7
Puerto Ayora,34,EC,1572578537,92,-0.74,-90.35,293.71,2.24
Ilulissat,94,GL,1572578537,57,69.22,-51.1,265.15,1.0
Dunedin,100,NZ,1572578538,61,-45.87,170.5,287.04,10.28
Zhigansk,100,RU,1572578538,93,66.77,123.37,258.53,4.64
Pathein,43,MM,1572578538,70,16.78,94.73,302.89,1.04
Fortuna,1,US,1572578539,65,40.6,-124.16,282.04,0.91
Provideniya,0,RU,1572578539,79,64.42,-173.23,271.15,1.85
Honningsvag,100,NO,1572578539,68,70.98,25.97,275.96,5.98
Jiangyou,81,CN,1572578539,78,31.78,104.73,285.73,1.48
San Patricio,100,PY,1572578539,91,-26.98,-56.83,295.63,2.91
Gunjur,0,GM,1572578540,78,13.18,-16.76,296.15,2.83
Kavieng,32,PG,1572578540,70,-2.57,150.8,302.78,4.1
Kimbe,81,PG,1572578540,72,-5.56,150.15,303.38,1.01
Tasiilaq,100,GL,1572578541,68,65.61,-37.64,271.15,7.2
Thompson,90,CA,1572578541,92,55.74,-97.86,269.15,1.5
East London,94,ZA,1572578541,81,-33.02,27.91,290.45,7.44
Kadoma,20,JP,1572578541,60,34.73,135.6,297.04,1.0
Saint George,90,GR,1572578542,93,39.45,22.34,287.15,2.1
Nikolskoye,90,RU,1572578542,95,59.7,30.79,275.93,3.0
Souillac,90,FR,1572578542,93,45.6,-0.6,287.15,3.6
Torbay,90,CA,1572578542,93,47.66,-52.73,282.59,10.3
Husavik,100,CA,1572578542,96,50.56,-96.99,272.59,2.24
Hofn,44,IS,1572578542,85,64.25,-15.21,279.23,9.1
Kodiak,1,US,1572578543,74,39.95,-94.76,273.15,2.6
Priladozhskiy,90,RU,1572578543,80,59.85,31.48,275.93,3.0
Mendeleyevo,98,RU,1572578543,74,56.04,37.23,272.59,7.0
Rawson,100,AR,1572578543,63,-43.3,-65.11,287.09,5.8
Hithadhoo,91,MV,1572578465,78,-0.6,73.08,300.59,5.6
Barrow,100,AR,1572578544,58,-38.31,-60.23,284.72,5.25
Leningradskiy,88,RU,1572578544,88,69.38,178.42,264.51,1.26
Antibes,31,FR,1572578544,87,43.58,7.11,288.15,5.1
Nurota,100,UZ,1572578545,76,40.56,65.69,285.15,3.1
Kaitangata,79,NZ,1572578545,47,-46.28,169.85,288.71,6.26
Coihaique,64,CL,1572578545,75,-45.58,-72.07,280.15,2.6
Bara,18,NG,1572578545,66,10.41,10.6,295.8,1.2
Butaritari,100,KI,1572578545,75,3.07,172.79,302.28,6.45
Sinnamary,0,GF,1572578546,79,5.38,-52.96,301.26,8.1
Geraldton,90,CA,1572578546,53,49.72,-86.95,269.15,1.5
Chivilcoy,0,AR,1572578546,79,-34.9,-60.02,289.26,1.79
Chuy,0,UY,1572578546,88,-33.69,-53.46,288.16,4.35
Weligama,91,LK,1572578546,76,5.97,80.42,301.09,1.28
Vao,0,EE,1572578547,92,59.1,26.19,272.45,2.91
Shumskiy,100,RU,1572578547,90,54.83,99.13,274.21,3.08
Kyshtovka,96,RU,1572578548,94,56.56,76.62,276.71,6.13
Turka,44,RU,1572578548,72,52.95,108.22,280.18,3.31
Port Hedland,12,AU,1572578548,12,-20.31,118.58,308.15,4.1
Goderich,100,CA,1572578548,98,43.74,-81.71,277.04,15.65
Doka,30,SD,1572578548,48,13.52,35.76,296.28,2.02
Port Elizabeth,100,US,1572578548,78,39.31,-74.98,297.59,11.68
Ribeira Grande,67,PT,1572578549,92,38.52,-28.7,292.04,9.85
Hovd,75,NO,1572578549,93,63.83,10.7,280.37,5.1
Wagar,0,US,1572578549,86,31.44,-87.99,278.15,5.08
Sivas,75,TR,1572578437,80,39.75,37.01,277.15,2.1
Bay Roberts,90,CA,1572578550,93,47.58,-53.28,282.59,10.3
Yumen,0,CN,1572578550,18,40.29,97.04,284.0,2.28
Pacific Grove,1,US,1572578550,26,36.62,-121.92,290.15,3.1
Nanortalik,100,GL,1572578551,97,60.14,-45.24,272.94,3.38
The Valley,20,AI,1572578551,74,18.22,-63.06,300.37,3.6
Lasa,75,CY,1572578551,82,34.92,32.53,289.15,3.1
Najran,17,SA,1572578551,31,17.54,44.22,289.15,2.1
Norman Wells,20,CA,1572578552,92,65.28,-126.83,263.15,1.5
Morondava,0,MG,1572578552,68,-20.3,44.28,298.8,1.56
Hasaki,20,JP,1572578552,64,35.73,140.83,299.26,1.0
Shirokiy,18,RU,1572578552,54,53.87,39.17,269.82,1.79
Broome,100,GB,1572578552,93,52.47,1.45,283.71,1.0
Paraguari,100,PY,1572578553,73,-25.62,-57.15,296.15,2.1
Ekhabi,98,RU,1572578553,80,53.51,142.97,279.36,3.76
Kahului,40,US,1572578553,65,20.89,-156.47,302.15,2.1
Westport,90,US,1572578282,88,41.14,-73.36,294.82,13.9
Keti Bandar,0,PK,1572578554,58,24.14,67.45,302.35,2.36
Chadan,63,RU,1572578554,74,51.29,91.58,277.02,1.09
Auki,49,NG,1572578554,37,12.18,6.51,297.24,1.52
Tacuarembo,31,UY,1572578554,80,-31.73,-55.98,288.67,7.11
Chadiza,29,ZM,1572578555,73,-14.06,32.43,291.9,2.6
Severo-Kurilsk,100,RU,1572578555,93,50.68,156.12,277.59,6.44
Coahuayana,100,MX,1572578555,89,18.62,-100.35,294.54,1.98
Mogadishu,32,SO,1572578391,80,2.04,45.34,300.84,4.68
Katsuura,20,JP,1572578556,53,33.93,134.5,296.48,5.1
Kawalu,99,ID,1572578556,62,-7.38,108.21,300.03,2.73
Cacu,45,BR,1572578556,58,-18.56,-51.13,298.31,1.99
Saldanha,100,PT,1572578556,98,41.42,-6.55,287.91,3.29
De-Kastri,99,RU,1572578557,86,51.48,140.77,277.38,7.36
Pearl River,1,US,1572578557,86,32.78,-89.23,277.15,2.6
Kokopo,100,PG,1572578558,77,-4.34,152.27,301.61,8.93
Sola,95,TZ,1572578558,69,-3.17,33.8,294.07,0.93
Castro,90,CL,1572578558,100,-42.48,-73.76,283.15,5.7
Longyearbyen,40,NO,1572578558,67,78.22,15.63,266.15,10.3
Shetpe,100,KZ,1572578558,54,44.14,52.16,278.63,2.04
Oksfjord,100,NO,1572578559,79,70.24,22.35,273.15,5.7
Kalmunai,59,LK,1572578559,79,7.42,81.82,300.37,4.55
Port Hawkesbury,75,CA,1572578559,87,45.62,-61.36,290.37,7.2
Hualmay,100,PE,1572578559,78,-11.1,-77.61,290.75,1.82
Chama,20,ZM,1572578559,45,-11.22,33.16,293.85,0.89
Conceicao do Araguaia,8,BR,1572578560,76,-8.26,-49.26,297.58,1.13
Khandyga,100,RU,1572578560,92,62.65,135.58,266.84,1.97
Constitucion,5,MX,1572578561,54,23.99,-104.67,287.15,3.6
Upernavik,65,GL,1572578561,62,72.79,-56.15,263.37,2.03
Yellowknife,90,CA,1572578790,100,62.45,-114.38,272.15,3.6
Mar del Plata,42,AR,1572578561,33,-46.43,-67.52,286.66,9.66
Tezu,0,IN,1572578561,67,27.93,96.16,295.24,0.95
Oranjestad,20,AW,1572578562,79,12.52,-70.03,302.15,5.7
Tabuk,93,PH,1572578562,81,17.41,121.44,300.79,3.37
Mabaruma,30,GY,1572578562,97,8.2,-59.78,296.39,0.82
Bay Saint Louis,1,US,1572578563,70,30.31,-89.33,280.37,4.1
Kasungu,3,MW,1572578563,55,-13.04,33.48,293.94,3.29
Fort Nelson,20,CA,1572578563,48,58.81,-122.69,277.15,2.1
Hanna,87,CA,1572578564,75,51.64,-111.93,274.26,3.58
Okhotsk,100,RU,1572578564,98,59.36,143.24,273.85,5.49
Nakambala,0,ZM,1572578564,44,-15.83,27.78,295.06,4.59
Bud,100,NO,1572578564,93,62.91,6.91,280.15,3.1
Rio Viejo,100,BO,1572578565,81,-14.22,-67.47,298.55,1.11
Deputatskiy,95,RU,1572578565,92,69.3,139.9,252.25,0.85
Batemans Bay,0,AU,1572578565,18,-35.71,150.18,304.26,3.13
Kudahuvadhoo,91,MV,1572578565,73,2.67,72.89,301.02,2.39
Sanmenxia,100,CN,1572578565,26,34.77,111.19,293.49,2.99
Honiara,75,SB,1572578566,88,-9.43,159.96,300.15,4.1
Valdivia,100,CL,1572578566,99,-39.81,-73.25,282.82,2.26
Natitingou,43,BJ,1572578566,78,10.31,1.38,295.17,1.51
Mount Gambier,99,AU,1572578378,47,-37.83,140.78,299.15,4.6
Kolpny,55,RU,1572578567,70,52.23,37.04,268.66,2.45
Roebourne,11,AU,1572578567,9,-20.77,117.15,304.32,5.13
Saskylakh,100,RU,1572578567,97,71.97,114.09,255.23,0.6
Labuhan,100,ID,1572578567,98,-2.54,115.51,296.39,0.67
Eldoret,40,KE,1572578568,93,0.52,35.27,285.15,3.1
Taga,64,ID,1572578568,43,-8.61,120.44,302.88,3.07
Udachnyy,0,RU,1572578568,84,66.42,112.4,256.15,4.0
Talnakh,90,RU,1572578568,76,69.49,88.39,252.15,7.0
Narsaq,100,GL,1572578569,55,60.91,-46.05,277.15,6.7
Xining,67,CN,1572578569,68,36.62,101.77,277.28,1.36
Kralendijk,0,BQ,1572578569,83,12.15,-68.27,301.15,3.6
Ucluelet,34,CA,1572578569,88,48.94,-125.55,278.71,1.08
Chirongui,20,YT,1572578569,88,-12.93,45.15,300.15,5.1
Vostok,100,RU,1572578570,95,46.45,135.83,271.65,5.32
Bodden Town,20,KY,1572578570,88,19.28,-81.25,301.48,4.75
Ulladulla,0,AU,1572578570,47,-35.36,150.48,304.26,6.7
Harper,1,US,1572578570,45,30.3,-99.24,278.71,1.5
Shiyan,100,CN,1572578571,15,32.65,110.78,288.15,0.43
Nanchang,54,CN,1572578571,32,28.68,115.89,296.73,3.11
Belmonte,100,PT,1572578571,98,40.36,-7.35,290.37,2.24
Huesca,100,ES,1572578571,81,42.14,-0.41,286.48,3.6
Port Hardy,90,CA,1572578571,93,50.7,-127.42,281.15,0.56
Cap-Chat,100,CA,1572578572,99,49.1,-66.68,279.48,0.88
Sabang,100,PH,1572578572,80,13.8,121.11,302.59,2.68
San Vicente,90,EC,1572578573,94,-0.59,-80.41,296.15,3.6
Vila,75,IT,1572578573,93,45.18,8.4,285.37,1.5
Ordzhonikidze,99,UA,1572578573,62,44.96,35.36,279.57,7.96
Te Anau,84,NZ,1572578573,77,-45.41,167.72,284.28,2.22
Carauari,5,BR,1572578573,97,-4.88,-66.9,295.85,0.3
Peno,100,RU,1572578574,93,56.92,32.74,272.74,4.56
Gravdal,95,NO,1572578574,93,59.79,5.78,278.15,4.6
Trinidad,91,BO,1572578574,63,-14.83,-64.9,300.22,1.06
Lorengau,99,PG,1572578574,69,-2.02,147.27,302.41,2.61
Shelburne,90,CA,1572578574,87,44.08,-80.2,281.15,9.3
Margate,100,AU,1572578575,27,-43.03,147.26,304.82,7.7
Cidreira,100,BR,1572578575,83,-30.17,-50.22,293.21,9.35
Okato,100,NZ,1572578575,61,-39.19,173.88,288.15,3.58
Kamennogorsk,90,RU,1572578575,86,60.95,29.13,274.26,3.6
Dunmore East,100,IE,1572578576,99,52.15,-6.99,286.48,1.79
Progreso,0,UY,1572578576,82,-34.68,-56.22,292.59,6.2
Port Blair,76,IN,1572578576,72,11.67,92.75,301.72,2.54
Bialystok,22,PL,1572578576,82,53.13,23.15,277.04,3.8
Spornoye,47,RU,1572578577,85,50.84,37.29,266.15,1.77
Takoradi,0,GH,1572578577,85,4.89,-1.75,298.77,0.08
Qeshm,20,IR,1572578577,83,26.96,56.27,298.15,3.1
Chalus,75,IR,1572578577,87,36.66,51.42,288.15,0.58
Kasempa,31,ZM,1572578577,40,-13.46,25.83,291.21,3.68
Bathsheba,20,BB,1572578578,78,13.22,-59.52,300.15,6.7
Lompoc,1,US,1572578578,34,34.64,-120.46,287.04,3.34
Shaoyang,0,CN,1572578578,42,27.23,111.45,293.95,2.0
Katangli,36,RU,1572578578,73,51.71,143.23,278.95,3.35
Banda Aceh,92,ID,1572578579,66,5.56,95.32,301.48,1.07
Christiana,50,ZA,1572578579,17,-27.91,25.16,283.74,4.91
Great Bend,1,US,1572578579,54,38.36,-98.78,274.82,3.6
Cabedelo,20,BR,1572578579,88,-6.97,-34.84,296.15,2.1
Jalu,0,LY,1572578580,45,29.03,21.55,291.26,3.01
La Ronge,90,CA,1572578580,86,55.1,-105.3,272.15,4.1
Lavrentiya,0,RU,1572578580,74,65.58,-170.99,269.29,3.31
Camalu,0,MX,1572578580,7,30.85,-116.07,281.48,1.3
Hailey,5,US,1572578581,53,43.52,-114.32,270.15,0.81
Ziparion,40,GR,1572578581,88,36.88,27.2,292.15,3.1
Xinqing,0,CN,1572578581,51,48.28,129.53,272.37,5.27
Boquira,4,BR,1572578581,66,-12.82,-42.73,297.09,2.23
Namibe,58,AO,1572578581,88,-15.19,12.15,295.13,4.61
Faya,11,SA,1572578582,76,18.39,42.45,287.15,2.1
Bonthe,100,SL,1572578582,86,7.53,-12.5,298.33,1.76
Teacapan,61,MX,1572578582,81,22.54,-105.74,296.02,0.22
Tarashcha,100,UA,1572578582,73,49.56,30.49,273.85,2.19
Gonbad-e Qabus,7,IR,1572578582,81,37.25,55.17,285.15,1.12
Gopalpur,0,BD,1572578583,67,24.18,89.13,299.27,2.45
Sao Felix do Xingu,82,BR,1572578583,96,-6.64,-51.99,295.07,0.76
Coquimbo,75,CL,1572578583,87,-29.95,-71.34,285.15,2.6
